Firm_ID,Year,Industry_Type,E_Score,S_Score,G_Score,Board_Independence,financial_risk_score
MFG0034,2021,Electronics,72.31,50.48,71.29,81.5,33
MFG0433,2021,Electronics,58.98,73.55,60.78,69.66,33
MFG0078,2023,Pharmaceuticals,74.77,74.36,63.3,51.35,0
MFG0218,2019,Heavy Machinery,96.12,62.83,65.59,55.3,0
MFG0301,2021,Automobile,76.27,67.72,66.17,68.26,0
MFG0411,2021,Automobile,63.29,59.21,46.2,51.75,66
MFG0073,2022,Heavy Machinery,87.35,60.81,57.63,52.54,33
MFG0282,2023,Pharmaceuticals,63.62,70.44,73.02,55.02,0
MFG0249,2020,Pharmaceuticals,90.93,91.63,58.74,60.43,33
MFG0047,2019,Pharmaceuticals,57.98,73.98,63.02,79.97,33
MFG0121,2019,Automobile,75.0,60.37,64.58,51.92,0
MFG0214,2023,Electronics,88.79,74.98,54.28,89.35,33
MFG0239,2022,Pharmaceuticals,62.46,73.23,77.64,60.95,0
MFG0056,2022,Automobile,72.91,52.46,64.75,62.81,33
MFG0350,2023,Automobile,84.73,65.16,58.15,59.92,33
MFG0107,2022,Electronics,47.19,66.72,70.19,74.1,33
MFG0319,2019,Heavy Machinery,82.2,69.06,62.63,50.78,0
MFG0048,2019,Heavy Machinery,71.03,67.72,65.47,53.74,0
MFG0061,2020,Pharmaceuticals,87.86,69.33,76.27,53.95,0
MFG0337,2023,Pharmaceuticals,62.9,59.58,60.67,76.58,33
MFG0026,2021,Electronics,56.75,65.07,74.14,63.18,33
MFG0292,2021,Pharmaceuticals,66.03,65.61,62.26,67.5,0
MFG0257,2020,Electronics,65.8,78.44,65.55,88.0,0
MFG0008,2020,Automobile,69.73,61.72,67.43,58.0,0
MFG0113,2022,Pharmaceuticals,66.85,65.8,62.24,52.81,0
MFG0355,2020,Automobile,49.91,64.8,56.87,67.66,66
MFG0253,2020,Textile,70.96,82.29,68.63,56.56,0
MFG0180,2021,Electronics,74.55,73.99,73.97,55.79,0
MFG0207,2022,Textile,69.87,59.6,70.01,66.41,33
MFG0303,2020,Pharmaceuticals,75.16,71.58,69.78,76.79,0
MFG0127,2020,Automobile,72.93,58.9,61.34,59.71,33
MFG0056,2022,Pharmaceuticals,56.8,70.35,70.51,85.04,33
MFG0214,2023,Textile,68.69,80.29,67.87,64.5,0
MFG0014,2022,Pharmaceuticals,73.25,50.39,71.9,87.36,33
MFG0474,2021,Heavy Machinery,69.39,58.93,65.79,69.7,33
MFG0028,2023,Textile,55.58,69.4,69.77,79.07,33
MFG0471,2019,Pharmaceuticals,85.45,64.44,61.13,83.96,0
MFG0078,2022,Automobile,61.31,69.93,70.56,71.19,0
MFG0216,2021,Pharmaceuticals,58.34,67.25,54.92,84.01,66
MFG0386,2023,Automobile,72.45,52.87,62.32,65.12,33
MFG0365,2022,Heavy Machinery,68.53,73.6,59.42,64.54,33
MFG0154,2020,Pharmaceuticals,78.62,55.99,93.05,81.76,33
MFG0014,2022,Heavy Machinery,81.6,69.85,70.22,59.65,0
MFG0187,2019,Textile,79.93,63.91,56.33,78.68,33
MFG0312,2022,Automobile,71.98,89.61,54.06,53.08,33
MFG0371,2023,Textile,78.09,66.91,51.03,75.43,33
MFG0007,2023,Automobile,54.84,71.16,55.88,87.68,66
MFG0003,2022,Heavy Machinery,84.04,72.99,58.21,68.26,33
MFG0111,2023,Electronics,67.55,71.04,57.2,66.64,33
MFG0407,2020,Pharmaceuticals,93.67,67.76,61.26,71.62,0
MFG0238,2022,Heavy Machinery,84.37,59.08,71.68,78.78,33
MFG0363,2020,Automobile,69.83,66.99,63.41,64.35,0
MFG0239,2020,Automobile,72.24,51.21,70.7,50.01,33
MFG0493,2021,Automobile,85.02,72.39,56.48,70.08,33
MFG0274,2022,Automobile,47.14,94.28,61.94,66.77,33
MFG0294,2023,Pharmaceuticals,70.24,69.59,57.5,71.31,33
MFG0227,2020,Textile,90.72,71.06,68.54,78.61,0
MFG0371,2021,Electronics,81.29,54.03,63.55,61.34,33
MFG0015,2022,Pharmaceuticals,62.79,60.66,79.18,70.21,0
MFG0192,2022,Automobile,75.46,76.05,59.64,60.14,33
MFG0473,2019,Pharmaceuticals,61.26,54.97,56.68,68.37,66
MFG0119,2019,Heavy Machinery,68.24,61.45,67.37,63.78,0
MFG0485,2020,Automobile,75.67,73.11,63.59,64.76,0
MFG0028,2019,Electronics,77.61,75.28,69.02,73.17,0
MFG0202,2020,Automobile,80.02,67.02,64.51,77.58,0
MFG0039,2023,Electronics,85.57,69.1,63.87,50.51,0
MFG0441,2020,Electronics,58.87,69.08,59.66,85.07,66
MFG0273,2019,Textile,72.26,56.9,62.84,64.57,33
MFG0231,2023,Textile,62.65,67.34,52.76,75.74,33
MFG0086,2019,Pharmaceuticals,67.61,70.18,74.58,54.9,0
MFG0474,2020,Pharmaceuticals,63.7,67.2,75.16,72.86,0
MFG0126,2021,Electronics,77.49,50.67,72.5,77.14,33
MFG0300,2022,Automobile,83.58,81.82,61.34,56.3,0
MFG0025,2019,Heavy Machinery,84.18,58.16,59.97,86.49,66
MFG0145,2020,Heavy Machinery,59.84,68.65,68.99,80.3,33
MFG0013,2023,Automobile,70.64,70.9,57.39,71.36,33
MFG0212,2019,Automobile,59.54,63.91,74.09,56.64,33
MFG0025,2019,Textile,59.17,70.2,45.95,84.62,66
MFG0068,2022,Heavy Machinery,64.72,61.02,61.38,52.75,0
MFG0394,2020,Electronics,75.78,87.32,56.48,54.61,33
MFG0067,2021,Pharmaceuticals,77.71,65.66,74.98,77.93,0
MFG0233,2023,Textile,79.2,76.09,73.59,60.15,0
MFG0109,2020,Heavy Machinery,78.52,58.17,69.51,68.37,33
MFG0146,2023,Automobile,62.67,74.49,80.33,71.56,0
MFG0111,2019,Heavy Machinery,85.01,61.55,65.08,68.33,0
MFG0228,2022,Electronics,80.84,55.46,70.05,53.36,33
MFG0111,2022,Textile,67.46,58.41,52.22,79.5,66
MFG0470,2021,Automobile,67.88,60.37,62.44,59.6,0
MFG0034,2022,Electronics,64.77,69.0,65.88,79.54,0
MFG0111,2019,Pharmaceuticals,57.79,93.88,57.67,84.61,66
MFG0264,2021,Textile,79.33,92.62,67.04,71.45,0
MFG0424,2020,Electronics,81.04,65.1,49.25,78.26,33
MFG0369,2022,Electronics,61.81,76.63,69.0,51.48,0
MFG0236,2021,Automobile,58.45,56.72,61.52,51.47,66
MFG0083,2019,Pharmaceuticals,61.7,49.06,58.7,57.89,66
MFG0042,2023,Electronics,73.21,68.28,70.95,64.34,0
MFG0425,2023,Textile,56.8,72.92,76.71,57.31,33
MFG0101,2019,Electronics,84.41,75.05,72.13,75.4,0
MFG0006,2019,Heavy Machinery,83.75,77.72,58.51,61.08,33
MFG0180,2023,Textile,76.67,65.03,70.35,83.83,0
MFG0282,2021,Textile,80.91,68.65,62.95,72.42,0
MFG0320,2023,Electronics,72.65,75.39,74.04,65.12,0
MFG0226,2019,Automobile,77.12,78.74,66.77,85.72,0
MFG0443,2022,Textile,57.7,59.84,53.2,83.13,99
MFG0440,2020,Heavy Machinery,87.3,69.9,63.06,82.8,0
MFG0315,2022,Automobile,66.64,73.85,58.4,79.13,33
MFG0365,2022,Automobile,70.58,69.33,58.78,74.57,33
MFG0454,2019,Automobile,99.36,62.4,62.4,64.67,0
MFG0229,2023,Textile,69.58,68.03,67.19,66.9,0
MFG0377,2021,Automobile,80.13,72.77,72.26,75.88,0
MFG0289,2022,Electronics,77.66,61.15,60.8,56.91,0
MFG0437,2023,Automobile,57.34,57.22,74.7,83.11,66
MFG0150,2021,Heavy Machinery,61.0,86.54,51.38,87.55,33
MFG0277,2022,Pharmaceuticals,94.39,69.69,58.3,53.92,33
MFG0198,2021,Heavy Machinery,78.37,76.45,81.39,50.9,0
MFG0070,2023,Textile,71.81,69.89,55.86,55.71,33
MFG0112,2020,Automobile,66.11,77.45,75.01,80.4,0
MFG0004,2023,Automobile,75.52,68.71,64.79,54.31,0
MFG0350,2019,Electronics,76.57,73.28,64.43,64.89,0
MFG0331,2021,Automobile,74.49,58.01,72.48,52.52,33
MFG0446,2020,Heavy Machinery,83.76,52.11,71.36,67.3,33
MFG0318,2021,Textile,62.46,63.71,75.67,74.15,0
MFG0350,2021,Pharmaceuticals,60.99,55.17,63.02,75.14,33
MFG0095,2022,Automobile,83.47,48.95,66.14,70.76,33
MFG0152,2019,Pharmaceuticals,95.24,70.72,63.0,87.52,0
MFG0311,2021,Automobile,81.27,52.08,56.1,71.25,66
MFG0137,2023,Textile,86.28,76.55,66.37,84.37,0
MFG0247,2023,Heavy Machinery,71.18,80.97,63.68,89.72,0
MFG0387,2022,Textile,74.93,55.01,50.03,59.19,66
MFG0243,2019,Pharmaceuticals,74.78,70.6,73.88,60.62,0
MFG0031,2019,Automobile,71.39,84.72,66.18,70.87,0
MFG0040,2023,Pharmaceuticals,87.52,63.75,59.4,57.3,33
MFG0229,2020,Heavy Machinery,84.27,73.5,67.66,72.57,0
MFG0036,2022,Textile,67.61,89.54,60.81,77.38,0
MFG0408,2022,Pharmaceuticals,53.9,52.91,66.61,52.42,66
MFG0223,2023,Pharmaceuticals,71.3,58.83,76.1,77.26,33
MFG0006,2023,Heavy Machinery,59.3,73.08,68.19,56.38,33
MFG0322,2020,Automobile,72.26,87.55,61.1,61.97,0
MFG0468,2020,Pharmaceuticals,60.17,61.6,56.75,79.55,33
MFG0220,2019,Heavy Machinery,85.82,89.92,59.29,56.54,33
MFG0075,2022,Automobile,79.53,69.19,71.5,71.27,0
MFG0004,2022,Automobile,79.26,50.29,64.55,73.57,33
MFG0335,2023,Textile,83.79,82.31,69.48,56.57,0
MFG0134,2019,Heavy Machinery,76.3,63.83,62.76,60.99,0
MFG0118,2022,Automobile,78.01,72.04,57.53,74.26,33
MFG0369,2019,Textile,87.78,53.07,69.79,68.45,33
MFG0094,2019,Electronics,70.52,61.22,58.53,76.4,33
MFG0486,2023,Heavy Machinery,78.66,54.53,61.74,84.19,33
MFG0435,2019,Electronics,60.42,53.57,55.21,55.4,66
MFG0062,2020,Automobile,72.87,68.88,57.52,52.83,33
MFG0441,2020,Heavy Machinery,96.85,73.1,72.17,76.67,0
MFG0194,2021,Textile,80.96,63.08,73.38,80.83,0
MFG0335,2023,Automobile,71.05,55.07,73.73,67.97,33
MFG0203,2021,Heavy Machinery,74.91,56.52,73.76,65.76,33
MFG0392,2020,Heavy Machinery,71.77,71.34,62.17,73.87,0
MFG0026,2021,Electronics,74.55,69.0,70.32,72.06,0
MFG0435,2023,Automobile,67.61,71.49,73.42,69.61,0
MFG0173,2023,Textile,77.44,82.03,58.02,82.75,33
MFG0300,2019,Textile,77.83,73.18,66.55,56.94,0
MFG0133,2022,Automobile,72.07,71.68,63.98,77.25,0
MFG0326,2019,Automobile,73.54,89.32,50.03,79.65,33
MFG0410,2023,Pharmaceuticals,75.75,65.53,67.61,86.05,0
MFG0118,2020,Electronics,66.2,89.45,59.28,87.8,33
MFG0324,2020,Automobile,77.34,80.81,73.41,70.31,0
MFG0275,2019,Automobile,80.58,65.32,58.9,67.35,33
MFG0212,2023,Pharmaceuticals,88.11,75.24,67.63,70.16,0
MFG0225,2020,Pharmaceuticals,75.5,66.06,65.9,79.3,0
MFG0020,2023,Heavy Machinery,65.89,55.07,51.22,50.69,66
MFG0113,2020,Textile,70.87,67.93,62.44,56.97,0
MFG0140,2023,Electronics,59.43,54.8,67.86,86.31,66
MFG0047,2021,Heavy Machinery,80.0,70.1,73.19,57.82,0
MFG0001,2023,Automobile,49.34,75.2,65.15,59.14,33
MFG0090,2023,Pharmaceuticals,83.27,66.05,72.25,87.58,0
MFG0142,2019,Textile,84.6,70.08,69.3,61.77,0
MFG0320,2021,Heavy Machinery,39.76,69.93,69.57,61.62,33
MFG0038,2022,Textile,86.03,75.6,69.92,86.95,0
MFG0293,2019,Pharmaceuticals,83.3,68.81,62.8,65.0,0
MFG0382,2022,Heavy Machinery,68.81,65.17,57.09,69.76,33
MFG0139,2020,Heavy Machinery,58.89,75.19,77.56,72.42,33
MFG0356,2022,Textile,62.78,69.43,71.15,84.73,0
MFG0333,2023,Pharmaceuticals,63.66,48.78,64.45,53.1,33
MFG0491,2022,Automobile,86.48,64.85,69.94,60.43,0
MFG0259,2019,Heavy Machinery,67.06,63.35,68.18,73.48,0
MFG0161,2019,Automobile,81.96,69.33,58.17,67.38,33
MFG0390,2022,Pharmaceuticals,70.64,68.36,62.3,61.13,0
MFG0178,2019,Heavy Machinery,72.61,50.45,75.61,66.39,33
MFG0010,2019,Heavy Machinery,54.71,54.57,64.96,88.65,66
MFG0261,2022,Automobile,59.38,59.42,68.0,50.84,66
MFG0407,2021,Electronics,86.22,68.58,75.08,55.88,0
MFG0138,2021,Automobile,70.29,77.66,64.93,50.75,0
MFG0172,2020,Automobile,75.31,53.57,57.55,73.74,66
MFG0386,2019,Electronics,91.87,61.95,65.91,50.52,0
MFG0013,2022,Pharmaceuticals,70.6,67.56,60.53,68.16,0
MFG0168,2019,Pharmaceuticals,69.97,59.62,53.87,84.37,66
MFG0130,2023,Heavy Machinery,85.27,68.79,71.42,53.89,0
MFG0084,2019,Textile,72.14,73.76,62.95,64.61,0
MFG0321,2019,Textile,75.52,61.19,41.12,65.12,33
MFG0319,2021,Heavy Machinery,82.96,70.95,67.03,64.49,0
MFG0101,2022,Textile,72.0,66.97,67.13,79.1,0
MFG0329,2019,Automobile,80.66,57.66,80.61,50.18,33
MFG0273,2021,Automobile,70.73,66.73,64.97,81.2,0
MFG0265,2020,Electronics,82.79,72.11,73.54,83.56,0
MFG0459,2021,Electronics,76.63,80.72,70.17,67.26,0
MFG0399,2021,Heavy Machinery,69.52,82.8,60.28,85.49,0
MFG0408,2021,Heavy Machinery,72.82,62.89,67.79,65.24,0
MFG0038,2019,Heavy Machinery,45.11,62.35,63.68,77.79,33
MFG0419,2019,Automobile,85.13,68.36,59.5,65.55,33
MFG0094,2020,Textile,58.2,63.12,60.87,51.51,33
MFG0095,2023,Heavy Machinery,60.24,78.92,59.78,53.34,33
MFG0305,2023,Heavy Machinery,67.18,68.91,64.92,67.68,0
MFG0069,2023,Automobile,52.28,68.5,64.96,89.6,33
MFG0318,2020,Automobile,77.14,73.79,60.6,57.1,0
MFG0444,2023,Automobile,75.97,69.44,63.33,85.82,0
MFG0236,2023,Textile,66.65,70.75,49.99,86.78,33
MFG0434,2021,Heavy Machinery,64.54,70.37,56.93,66.39,33
MFG0334,2019,Pharmaceuticals,64.37,66.7,62.66,68.47,0
MFG0373,2019,Pharmaceuticals,78.76,59.88,78.37,70.11,33
MFG0376,2021,Heavy Machinery,54.47,83.83,70.07,80.82,33
MFG0459,2021,Heavy Machinery,67.5,59.85,57.18,54.95,66
MFG0137,2021,Heavy Machinery,55.18,82.89,77.92,63.15,33
MFG0418,2019,Heavy Machinery,80.46,71.07,64.99,56.83,0
MFG0076,2023,Textile,68.3,62.59,55.92,85.14,33
MFG0483,2021,Pharmaceuticals,78.01,72.99,64.37,52.82,0
MFG0035,2020,Electronics,85.74,75.07,72.88,79.91,0
MFG0001,2021,Pharmaceuticals,85.93,83.46,55.93,67.59,33
MFG0296,2022,Pharmaceuticals,60.76,56.16,56.71,78.58,66
MFG0320,2021,Automobile,75.4,66.74,79.45,85.6,0
MFG0406,2019,Heavy Machinery,84.34,80.39,67.37,63.59,0
MFG0060,2021,Heavy Machinery,79.66,74.72,61.23,59.08,0
MFG0320,2022,Heavy Machinery,80.75,72.37,64.15,76.01,0
MFG0349,2020,Automobile,52.38,81.31,67.28,89.9,33
MFG0328,2023,Textile,79.49,66.38,63.45,79.18,0
MFG0267,2021,Textile,63.28,46.42,75.8,81.82,33
MFG0361,2022,Electronics,79.31,64.7,65.79,75.19,0
MFG0229,2022,Textile,79.07,86.11,70.31,64.73,0
MFG0270,2020,Textile,78.49,70.69,65.67,76.19,0
MFG0316,2019,Heavy Machinery,70.78,60.42,64.7,55.14,0
MFG0286,2021,Pharmaceuticals,86.48,80.01,72.14,69.55,0
MFG0291,2022,Textile,77.61,75.6,72.31,72.92,0
MFG0213,2020,Textile,75.54,69.32,51.93,86.27,33
MFG0165,2023,Automobile,61.72,73.27,64.85,86.79,0
MFG0005,2022,Electronics,76.36,58.84,81.4,52.4,33
MFG0339,2020,Automobile,93.77,64.74,61.43,75.28,0
MFG0379,2019,Heavy Machinery,56.71,67.42,68.63,81.86,33
MFG0078,2019,Pharmaceuticals,80.03,77.89,74.98,71.46,0
MFG0410,2022,Electronics,81.42,63.06,56.13,53.83,33
MFG0062,2022,Automobile,90.98,67.77,62.01,59.31,0
MFG0132,2021,Textile,79.98,80.97,52.42,62.55,33
MFG0089,2020,Textile,72.12,90.72,65.84,76.51,0
MFG0237,2022,Electronics,76.65,60.16,68.08,52.62,0
MFG0042,2021,Textile,69.05,69.26,70.15,71.98,0
MFG0089,2021,Automobile,85.41,54.43,77.59,54.36,33
MFG0402,2022,Automobile,54.96,67.87,65.51,65.8,33
MFG0296,2019,Textile,66.63,65.39,55.78,67.02,33
MFG0328,2020,Textile,76.91,79.26,57.95,68.07,33
MFG0295,2020,Heavy Machinery,84.88,57.44,58.9,78.43,66
MFG0104,2019,Pharmaceuticals,71.85,56.21,66.66,53.25,33
MFG0014,2022,Electronics,63.39,81.69,83.8,60.73,0
MFG0288,2020,Automobile,69.68,62.3,64.42,75.65,0
MFG0179,2022,Electronics,67.96,69.78,75.99,87.74,0
MFG0125,2022,Heavy Machinery,68.47,70.66,64.09,74.83,0
MFG0422,2021,Automobile,67.21,60.91,55.71,85.33,33
MFG0353,2019,Heavy Machinery,67.22,60.92,58.47,88.74,33
MFG0023,2022,Heavy Machinery,53.12,78.14,59.17,85.36,66
MFG0063,2023,Textile,75.3,74.09,64.02,88.89,0
MFG0143,2019,Electronics,79.42,67.86,68.24,81.08,0
MFG0481,2020,Electronics,88.48,66.77,59.73,85.49,33
MFG0153,2021,Textile,81.46,70.85,71.32,69.66,0
MFG0145,2020,Electronics,80.9,71.44,73.38,63.82,0
MFG0225,2020,Textile,75.26,79.35,62.89,89.99,0
MFG0495,2019,Automobile,52.61,67.81,72.35,53.91,33
MFG0450,2020,Heavy Machinery,75.08,71.99,49.46,88.33,33
MFG0462,2022,Heavy Machinery,73.24,74.46,46.13,67.23,33
MFG0309,2020,Electronics,83.33,74.62,71.66,50.9,0
MFG0104,2021,Pharmaceuticals,78.24,81.05,61.62,82.12,0
MFG0104,2021,Heavy Machinery,70.57,67.89,82.63,67.77,0
MFG0435,2023,Textile,93.54,62.91,64.26,81.95,0
MFG0039,2021,Pharmaceuticals,81.33,64.78,57.0,51.79,33
MFG0435,2020,Pharmaceuticals,75.74,73.77,78.49,88.97,0
MFG0198,2021,Heavy Machinery,77.01,67.03,70.25,76.84,0
MFG0134,2019,Heavy Machinery,72.67,88.58,77.39,51.92,0
MFG0067,2021,Heavy Machinery,72.18,68.11,60.31,50.19,0
MFG0391,2022,Textile,48.13,59.41,67.92,73.76,66
MFG0179,2019,Pharmaceuticals,61.93,70.9,58.0,89.06,33
MFG0456,2023,Electronics,66.05,81.85,51.03,70.96,33
MFG0042,2022,Textile,76.96,60.66,70.94,64.16,0
MFG0448,2020,Automobile,53.83,60.4,61.35,87.56,33
MFG0015,2020,Heavy Machinery,66.27,66.32,57.03,89.36,33
MFG0111,2020,Pharmaceuticals,64.86,62.19,53.89,81.38,33
MFG0157,2022,Textile,73.28,55.85,66.46,78.72,33
MFG0289,2022,Automobile,76.98,54.13,65.51,50.08,33
MFG0478,2022,Textile,64.9,70.09,61.13,62.55,0
MFG0231,2019,Textile,65.69,74.44,59.61,87.01,33
MFG0411,2019,Electronics,64.52,61.69,71.13,64.73,0
MFG0420,2020,Electronics,67.71,67.37,45.14,63.38,33
MFG0157,2021,Textile,71.44,69.66,70.05,71.49,0
MFG0038,2020,Automobile,86.47,58.05,68.72,67.91,33
MFG0441,2023,Pharmaceuticals,60.86,75.73,55.16,84.35,33
MFG0097,2019,Pharmaceuticals,91.26,69.91,49.53,53.27,33
MFG0485,2022,Heavy Machinery,58.43,72.72,69.71,76.35,33
MFG0411,2019,Heavy Machinery,82.5,74.12,55.61,77.89,33
MFG0439,2022,Pharmaceuticals,66.77,89.83,77.59,85.2,0
MFG0289,2023,Textile,61.98,58.78,81.94,66.63,33
MFG0254,2023,Textile,86.49,59.97,68.41,61.8,33
MFG0196,2019,Electronics,72.9,83.15,64.19,75.06,0
MFG0086,2022,Electronics,72.48,73.87,63.25,79.0,0
MFG0322,2023,Heavy Machinery,68.95,68.62,51.35,56.84,33
MFG0010,2020,Pharmaceuticals,65.6,63.7,62.71,56.33,0
MFG0005,2020,Textile,70.05,65.91,61.33,60.54,0
MFG0123,2022,Pharmaceuticals,36.5,66.09,59.91,59.92,66
MFG0330,2019,Automobile,51.61,54.55,68.13,80.03,66
MFG0353,2023,Pharmaceuticals,76.32,76.76,66.05,71.23,0
MFG0118,2019,Automobile,85.01,49.9,71.29,71.91,33
MFG0294,2020,Electronics,87.0,60.36,61.45,50.59,0
MFG0397,2023,Electronics,61.47,64.11,69.82,89.77,0
MFG0159,2019,Heavy Machinery,74.12,87.29,65.06,83.19,0
MFG0303,2021,Pharmaceuticals,47.87,67.09,69.77,67.75,33
MFG0228,2022,Pharmaceuticals,68.13,70.85,64.38,52.68,0
MFG0365,2022,Automobile,81.06,60.1,79.22,77.77,0
MFG0216,2021,Electronics,71.81,75.82,45.47,71.4,33
MFG0436,2020,Automobile,68.35,94.57,70.0,77.1,0
MFG0184,2023,Electronics,71.85,72.42,71.85,77.1,0
MFG0015,2022,Automobile,86.11,64.98,54.87,56.19,33
MFG0157,2021,Electronics,69.31,49.71,79.6,63.15,33
MFG0136,2021,Automobile,72.8,74.24,65.18,50.71,0
MFG0261,2020,Electronics,88.71,59.13,64.0,89.29,33
MFG0157,2020,Automobile,69.49,61.2,67.97,82.26,0
MFG0047,2019,Pharmaceuticals,54.0,76.39,72.1,87.15,33
MFG0324,2022,Heavy Machinery,87.05,63.74,66.06,51.77,0
MFG0332,2019,Automobile,83.17,67.15,65.81,70.01,0
MFG0173,2021,Heavy Machinery,47.62,74.75,71.7,79.9,33
MFG0130,2023,Pharmaceuticals,70.57,61.65,72.75,54.15,0
MFG0411,2023,Pharmaceuticals,71.76,56.4,67.69,81.08,33
MFG0095,2020,Electronics,87.06,72.18,52.62,75.9,33
MFG0115,2023,Heavy Machinery,71.84,74.79,56.85,89.4,33
MFG0243,2023,Textile,73.83,62.8,73.68,55.63,0
MFG0420,2023,Electronics,74.17,62.36,62.78,75.17,0
MFG0292,2021,Heavy Machinery,66.87,58.1,60.21,87.89,33
MFG0282,2023,Automobile,86.27,74.42,68.52,79.75,0
MFG0299,2023,Automobile,63.29,85.27,67.53,63.45,0
MFG0283,2023,Pharmaceuticals,66.66,76.38,63.25,54.77,0
MFG0069,2019,Textile,71.93,67.18,70.95,88.55,0
MFG0148,2021,Automobile,57.28,74.45,54.86,52.88,66
MFG0011,2020,Heavy Machinery,91.42,60.51,51.14,89.01,33
MFG0254,2019,Heavy Machinery,71.99,71.32,77.02,62.14,0
MFG0330,2022,Automobile,81.07,58.23,56.02,84.41,66
MFG0360,2021,Heavy Machinery,61.47,66.9,53.2,72.17,33
MFG0038,2021,Heavy Machinery,79.83,77.68,62.39,86.5,0
MFG0134,2022,Pharmaceuticals,80.76,75.31,64.76,67.06,0
MFG0200,2022,Textile,82.35,73.12,61.17,83.99,0
MFG0023,2022,Pharmaceuticals,92.95,71.75,63.17,59.54,0
MFG0303,2020,Textile,65.86,61.37,53.63,68.67,33
MFG0346,2023,Heavy Machinery,69.95,69.28,70.71,83.85,0
MFG0302,2021,Textile,62.7,75.05,52.76,54.73,33
MFG0363,2023,Heavy Machinery,70.94,65.81,65.18,79.15,0
MFG0396,2023,Heavy Machinery,79.31,66.16,66.87,67.47,0
MFG0218,2022,Pharmaceuticals,78.71,63.77,70.19,70.53,0
MFG0141,2020,Pharmaceuticals,90.05,65.44,66.82,73.16,0
MFG0104,2019,Electronics,77.39,61.04,56.29,61.03,33
MFG0446,2020,Automobile,72.01,68.22,61.71,53.85,0
MFG0210,2023,Electronics,59.99,65.12,59.37,50.75,66
MFG0473,2020,Electronics,81.53,54.73,52.42,67.24,66
MFG0481,2022,Textile,70.28,91.41,68.48,60.75,0
MFG0111,2019,Heavy Machinery,81.78,58.66,58.95,75.32,66
MFG0104,2022,Heavy Machinery,67.33,66.79,66.19,78.64,0
MFG0316,2019,Heavy Machinery,85.21,68.55,64.11,70.15,0
MFG0171,2023,Automobile,76.25,63.19,55.91,74.76,33
MFG0460,2019,Textile,82.91,67.19,55.38,72.43,33
MFG0492,2019,Textile,76.24,60.63,62.32,50.18,0
MFG0356,2019,Heavy Machinery,61.82,74.54,54.49,83.67,33
MFG0496,2020,Electronics,67.98,67.8,72.91,52.38,0
MFG0324,2020,Automobile,57.92,74.47,75.76,66.41,33
MFG0133,2023,Electronics,74.03,81.23,71.26,54.44,0
MFG0376,2019,Pharmaceuticals,55.91,65.47,67.79,76.49,33
MFG0293,2021,Textile,75.23,74.96,65.49,63.02,0
MFG0328,2023,Textile,32.19,81.83,56.62,52.85,66
MFG0127,2019,Electronics,80.91,66.89,71.62,51.81,0
MFG0106,2019,Automobile,59.86,74.22,75.97,59.49,33
MFG0497,2020,Textile,61.51,63.81,62.28,76.69,0
MFG0092,2023,Electronics,87.09,78.77,64.71,78.73,0
MFG0287,2019,Automobile,75.52,63.5,58.54,55.14,33
MFG0378,2019,Electronics,81.31,74.33,62.35,55.56,0
MFG0393,2023,Automobile,60.94,76.96,54.94,73.73,33
MFG0051,2021,Heavy Machinery,82.58,57.39,62.69,88.29,33
MFG0029,2023,Automobile,70.49,62.0,68.46,72.12,0
MFG0462,2023,Pharmaceuticals,73.29,61.64,67.6,78.47,0
MFG0296,2021,Heavy Machinery,88.39,77.72,67.01,73.02,0
MFG0297,2023,Electronics,59.21,57.42,45.47,54.19,99
MFG0214,2019,Heavy Machinery,82.04,70.93,65.38,87.86,0
MFG0267,2023,Heavy Machinery,76.24,74.54,69.91,52.88,0
MFG0407,2021,Electronics,69.66,69.52,64.93,80.39,0
MFG0257,2022,Electronics,59.96,79.47,74.08,89.17,33
MFG0302,2023,Pharmaceuticals,69.53,50.68,64.2,62.76,33
MFG0101,2020,Electronics,63.0,73.47,68.18,56.87,0
MFG0405,2019,Textile,85.06,66.36,56.98,72.65,33
MFG0346,2019,Textile,73.01,54.45,69.69,81.8,33
MFG0110,2020,Pharmaceuticals,64.55,58.27,71.29,87.98,33
MFG0420,2020,Automobile,56.19,82.09,59.29,77.75,66
MFG0182,2023,Automobile,66.91,73.69,53.56,63.43,33
MFG0471,2020,Textile,85.6,75.22,61.39,69.77,0
MFG0313,2022,Electronics,73.23,76.63,57.01,80.45,33
MFG0001,2021,Pharmaceuticals,70.02,55.79,69.79,81.52,33
MFG0319,2020,Automobile,90.69,70.21,61.09,52.98,0
MFG0438,2020,Automobile,67.44,77.89,70.75,74.55,0
MFG0055,2022,Heavy Machinery,63.11,64.38,52.49,88.69,33
MFG0371,2019,Textile,76.44,80.26,58.37,81.41,33
MFG0424,2019,Electronics,76.62,62.49,58.89,50.29,33
MFG0399,2023,Pharmaceuticals,65.55,69.12,67.21,59.0,0
MFG0149,2022,Automobile,63.23,71.58,48.39,67.8,33
MFG0431,2021,Heavy Machinery,87.92,74.79,62.8,78.25,0
MFG0457,2021,Textile,67.24,65.41,62.08,72.21,0
MFG0309,2022,Textile,56.03,77.11,67.89,53.09,33
MFG0137,2021,Pharmaceuticals,74.12,71.85,65.4,79.53,0
MFG0202,2019,Automobile,81.84,53.25,57.36,83.55,66
MFG0436,2021,Pharmaceuticals,69.9,84.53,46.93,58.23,33
