Firm_ID,Year,Overall_Compliance,final_esg_risk_score,alert_level
MFG0180,2022,Non-Compliant,33,Warning
MFG0223,2019,Compliant,0,Low
MFG0394,2019,Compliant,0,Low
MFG0250,2022,Non-Compliant,33,Warning
MFG0147,2021,Compliant,0,Low
MFG0442,2019,Non-Compliant,66,Critical
MFG0096,2020,Non-Compliant,33,Warning
MFG0257,2022,Non-Compliant,33,Warning
MFG0325,2019,Compliant,0,Low
MFG0493,2023,Compliant,0,Low
MFG0004,2020,Non-Compliant,33,Warning
MFG0016,2019,Non-Compliant,33,Warning
MFG0280,2020,Non-Compliant,33,Warning
MFG0336,2020,Non-Compliant,33,Warning
MFG0247,2021,Non-Compliant,66,Critical
MFG0258,2020,Non-Compliant,33,Warning
MFG0497,2021,Compliant,0,Low
MFG0476,2022,Non-Compliant,66,Critical
MFG0384,2021,Compliant,0,Low
MFG0160,2023,Non-Compliant,33,Warning
MFG0475,2019,Non-Compliant,33,Warning
MFG0340,2022,Compliant,0,Low
MFG0152,2022,Non-Compliant,33,Warning
MFG0396,2023,Compliant,0,Low
MFG0178,2021,Non-Compliant,33,Warning
MFG0163,2019,Non-Compliant,33,Warning
MFG0380,2021,Compliant,0,Low
MFG0033,2020,Non-Compliant,33,Warning
MFG0417,2021,Compliant,0,Low
MFG0445,2022,Non-Compliant,33,Warning
MFG0179,2019,Non-Compliant,33,Warning
MFG0427,2021,Compliant,0,Low
MFG0101,2019,Compliant,0,Low
MFG0268,2019,Compliant,0,Low
MFG0323,2020,Compliant,0,Low
MFG0065,2020,Non-Compliant,33,Warning
MFG0417,2022,Compliant,0,Low
MFG0168,2023,Compliant,0,Low
MFG0330,2019,Compliant,0,Low
MFG0043,2023,Compliant,0,Low
MFG0044,2022,Non-Compliant,66,Critical
MFG0285,2019,Non-Compliant,66,Critical
MFG0397,2019,Non-Compliant,33,Warning
MFG0012,2023,Non-Compliant,33,Warning
MFG0095,2021,Non-Compliant,33,Warning
MFG0302,2020,Compliant,0,Low
MFG0386,2021,Compliant,0,Low
MFG0253,2023,Non-Compliant,33,Warning
MFG0499,2020,Non-Compliant,33,Warning
MFG0242,2021,Non-Compliant,33,Warning
MFG0035,2020,Non-Compliant,33,Warning
MFG0215,2019,Non-Compliant,33,Warning
MFG0337,2021,Compliant,0,Low
MFG0090,2020,Non-Compliant,33,Warning
MFG0264,2020,Non-Compliant,33,Warning
MFG0093,2020,Compliant,0,Low
MFG0410,2021,Compliant,0,Low
MFG0458,2022,Compliant,0,Low
MFG0090,2021,Compliant,0,Low
MFG0418,2023,Compliant,0,Low
MFG0115,2021,Compliant,0,Low
MFG0105,2020,Compliant,0,Low
MFG0391,2019,Compliant,0,Low
MFG0196,2021,Non-Compliant,33,Warning
MFG0314,2021,Non-Compliant,33,Warning
MFG0114,2020,Non-Compliant,33,Warning
MFG0493,2019,Compliant,0,Low
MFG0075,2019,Non-Compliant,33,Warning
MFG0413,2023,Non-Compliant,33,Warning
MFG0376,2021,Non-Compliant,33,Warning
MFG0420,2019,Compliant,0,Low
MFG0217,2019,Non-Compliant,33,Warning
MFG0277,2022,Non-Compliant,66,Critical
MFG0249,2022,Compliant,0,Low
MFG0164,2019,Compliant,0,Low
MFG0394,2023,Non-Compliant,33,Warning
MFG0357,2019,Non-Compliant,66,Critical
MFG0457,2020,Non-Compliant,33,Warning
MFG0408,2021,Compliant,0,Low
MFG0192,2023,Compliant,0,Low
MFG0227,2020,Compliant,0,Low
MFG0177,2023,Non-Compliant,33,Warning
MFG0099,2020,Compliant,0,Low
MFG0496,2021,Compliant,0,Low
MFG0036,2021,Compliant,0,Low
MFG0466,2022,Non-Compliant,33,Warning
MFG0497,2020,Non-Compliant,33,Warning
MFG0487,2022,Compliant,0,Low
MFG0096,2020,Compliant,0,Low
MFG0152,2022,Non-Compliant,33,Warning
MFG0151,2021,Non-Compliant,33,Warning
MFG0190,2023,Compliant,0,Low
MFG0224,2022,Non-Compliant,66,Critical
MFG0037,2020,Non-Compliant,66,Critical
MFG0268,2020,Compliant,0,Low
MFG0369,2021,Compliant,0,Low
MFG0183,2020,Compliant,0,Low
MFG0013,2019,Non-Compliant,33,Warning
MFG0279,2023,Compliant,0,Low
MFG0217,2022,Non-Compliant,99,Critical
MFG0355,2023,Non-Compliant,33,Warning
MFG0361,2021,Non-Compliant,33,Warning
MFG0286,2022,Compliant,0,Low
MFG0273,2022,Compliant,0,Low
MFG0369,2019,Compliant,0,Low
MFG0062,2021,Non-Compliant,33,Warning
MFG0084,2020,Non-Compliant,33,Warning
MFG0368,2019,Compliant,0,Low
MFG0217,2019,Non-Compliant,33,Warning
MFG0342,2023,Non-Compliant,33,Warning
MFG0397,2023,Compliant,0,Low
MFG0187,2023,Non-Compliant,33,Warning
MFG0019,2019,Non-Compliant,33,Warning
MFG0177,2020,Non-Compliant,33,Warning
MFG0100,2022,Non-Compliant,33,Warning
MFG0396,2023,Compliant,0,Low
MFG0445,2020,Non-Compliant,33,Warning
MFG0233,2021,Compliant,0,Low
MFG0403,2023,Non-Compliant,33,Warning
MFG0076,2022,Non-Compliant,33,Warning
MFG0265,2021,Non-Compliant,33,Warning
MFG0455,2021,Non-Compliant,66,Critical
MFG0284,2022,Compliant,0,Low
MFG0206,2023,Non-Compliant,33,Warning
MFG0223,2019,Compliant,0,Low
MFG0384,2022,Non-Compliant,33,Warning
MFG0052,2022,Compliant,0,Low
MFG0339,2022,Non-Compliant,33,Warning
MFG0367,2021,Non-Compliant,33,Warning
MFG0144,2020,Non-Compliant,33,Warning
MFG0373,2019,Compliant,0,Low
MFG0069,2023,Compliant,0,Low
MFG0099,2023,Non-Compliant,66,Critical
MFG0396,2020,Non-Compliant,33,Warning
MFG0025,2022,Compliant,0,Low
MFG0436,2019,Compliant,0,Low
MFG0379,2023,Non-Compliant,33,Warning
MFG0469,2023,Compliant,0,Low
MFG0484,2022,Compliant,0,Low
MFG0053,2020,Compliant,0,Low
MFG0151,2019,Non-Compliant,33,Warning
MFG0144,2020,Non-Compliant,33,Warning
MFG0057,2020,Non-Compliant,33,Warning
MFG0039,2019,Compliant,0,Low
MFG0109,2019,Non-Compliant,33,Warning
MFG0181,2023,Compliant,0,Low
MFG0042,2023,Compliant,0,Low
MFG0186,2019,Non-Compliant,33,Warning
MFG0423,2021,Compliant,0,Low
MFG0398,2023,Compliant,0,Low
MFG0223,2021,Compliant,0,Low
MFG0122,2019,Compliant,0,Low
MFG0133,2023,Compliant,0,Low
MFG0163,2020,Compliant,0,Low
MFG0215,2019,Compliant,0,Low
MFG0221,2022,Compliant,0,Low
MFG0235,2021,Compliant,0,Low
MFG0331,2019,Compliant,0,Low
MFG0146,2019,Compliant,0,Low
MFG0239,2023,Non-Compliant,33,Warning
MFG0076,2023,Non-Compliant,33,Warning
MFG0009,2023,Non-Compliant,33,Warning
MFG0074,2022,Non-Compliant,33,Warning
MFG0442,2023,Compliant,0,Low
MFG0492,2019,Non-Compliant,33,Warning
MFG0401,2023,Compliant,0,Low
MFG0253,2020,Compliant,0,Low
MFG0230,2023,Non-Compliant,66,Critical
MFG0007,2022,Non-Compliant,33,Warning
MFG0174,2020,Non-Compliant,33,Warning
MFG0141,2019,Non-Compliant,33,Warning
MFG0168,2019,Non-Compliant,33,Warning
MFG0170,2021,Non-Compliant,33,Warning
MFG0393,2020,Compliant,0,Low
MFG0434,2021,Compliant,0,Low
MFG0283,2020,Compliant,0,Low
MFG0122,2020,Compliant,0,Low
MFG0194,2022,Compliant,0,Low
MFG0005,2021,Non-Compliant,33,Warning
MFG0029,2022,Compliant,0,Low
MFG0165,2020,Non-Compliant,66,Critical
MFG0422,2019,Non-Compliant,66,Critical
MFG0339,2020,Non-Compliant,33,Warning
MFG0136,2022,Compliant,0,Low
MFG0496,2021,Non-Compliant,33,Warning
MFG0365,2021,Compliant,0,Low
MFG0321,2022,Non-Compliant,33,Warning
MFG0342,2021,Non-Compliant,66,Critical
MFG0145,2023,Non-Compliant,33,Warning
MFG0327,2019,Non-Compliant,33,Warning
MFG0217,2019,Compliant,0,Low
MFG0301,2019,Non-Compliant,33,Warning
MFG0132,2021,Compliant,0,Low
MFG0292,2021,Compliant,0,Low
MFG0070,2020,Non-Compliant,33,Warning
MFG0252,2020,Compliant,0,Low
MFG0415,2019,Compliant,0,Low
MFG0275,2023,Compliant,0,Low
MFG0445,2020,Non-Compliant,33,Warning
MFG0364,2020,Non-Compliant,33,Warning
MFG0182,2021,Non-Compliant,33,Warning
MFG0167,2023,Non-Compliant,33,Warning
MFG0091,2019,Non-Compliant,33,Warning
MFG0202,2020,Non-Compliant,33,Warning
MFG0346,2023,Non-Compliant,33,Warning
MFG0019,2023,Non-Compliant,33,Warning
MFG0039,2019,Non-Compliant,33,Warning
MFG0126,2023,Compliant,0,Low
MFG0451,2023,Compliant,0,Low
MFG0173,2023,Compliant,0,Low
MFG0141,2020,Non-Compliant,33,Warning
MFG0242,2019,Compliant,0,Low
MFG0220,2023,Non-Compliant,66,Critical
MFG0126,2023,Compliant,0,Low
MFG0058,2020,Compliant,0,Low
MFG0148,2019,Compliant,0,Low
MFG0476,2021,Non-Compliant,66,Critical
MFG0456,2020,Compliant,0,Low
MFG0317,2019,Compliant,0,Low
MFG0383,2023,Compliant,0,Low
MFG0361,2019,Non-Compliant,33,Warning
MFG0423,2019,Non-Compliant,33,Warning
MFG0001,2019,Non-Compliant,66,Critical
MFG0387,2021,Compliant,0,Low
MFG0461,2019,Non-Compliant,33,Warning
MFG0348,2021,Compliant,0,Low
MFG0190,2023,Compliant,0,Low
MFG0191,2021,Non-Compliant,33,Warning
MFG0369,2023,Compliant,0,Low
MFG0409,2023,Non-Compliant,66,Critical
MFG0312,2021,Compliant,0,Low
MFG0417,2020,Compliant,0,Low
MFG0422,2022,Non-Compliant,33,Warning
MFG0117,2019,Non-Compliant,33,Warning
MFG0134,2022,Compliant,0,Low
MFG0058,2019,Compliant,0,Low
MFG0044,2019,Non-Compliant,33,Warning
MFG0173,2023,Non-Compliant,66,Critical
MFG0160,2019,Non-Compliant,33,Warning
MFG0173,2019,Non-Compliant,33,Warning
MFG0317,2021,Non-Compliant,33,Warning
MFG0303,2022,Compliant,0,Low
MFG0149,2021,Non-Compliant,33,Warning
MFG0080,2019,Non-Compliant,33,Warning
MFG0374,2023,Non-Compliant,33,Warning
MFG0213,2021,Compliant,0,Low
MFG0203,2021,Compliant,0,Low
MFG0252,2020,Compliant,0,Low
MFG0229,2019,Compliant,0,Low
MFG0164,2023,Compliant,0,Low
MFG0227,2021,Compliant,0,Low
MFG0147,2021,Compliant,0,Low
MFG0020,2023,Compliant,0,Low
MFG0441,2019,Non-Compliant,33,Warning
MFG0402,2020,Non-Compliant,33,Warning
MFG0047,2021,Non-Compliant,33,Warning
MFG0233,2020,Compliant,0,Low
MFG0305,2022,Non-Compliant,33,Warning
MFG0014,2019,Compliant,0,Low
MFG0143,2022,Non-Compliant,33,Warning
MFG0415,2022,Compliant,0,Low
MFG0001,2022,Non-Compliant,33,Warning
MFG0373,2019,Compliant,0,Low
MFG0054,2019,Non-Compliant,66,Critical
MFG0374,2023,Compliant,0,Low
MFG0259,2020,Non-Compliant,66,Critical
MFG0144,2020,Compliant,0,Low
MFG0471,2023,Non-Compliant,66,Critical
MFG0441,2023,Non-Compliant,33,Warning
MFG0459,2022,Compliant,0,Low
MFG0012,2023,Non-Compliant,33,Warning
MFG0330,2021,Non-Compliant,33,Warning
MFG0224,2020,Non-Compliant,33,Warning
MFG0272,2023,Non-Compliant,66,Critical
MFG0456,2021,Compliant,0,Low
MFG0358,2021,Non-Compliant,33,Warning
MFG0460,2021,Non-Compliant,33,Warning
MFG0408,2021,Non-Compliant,33,Warning
MFG0156,2022,Compliant,0,Low
MFG0373,2021,Compliant,0,Low
MFG0008,2022,Compliant,0,Low
MFG0122,2022,Non-Compliant,66,Critical
MFG0348,2021,Compliant,0,Low
MFG0164,2020,Compliant,0,Low
MFG0090,2021,Compliant,0,Low
MFG0136,2021,Compliant,0,Low
MFG0186,2021,Compliant,0,Low
MFG0316,2020,Compliant,0,Low
MFG0178,2019,Non-Compliant,33,Warning
MFG0028,2019,Non-Compliant,33,Warning
MFG0220,2022,Compliant,0,Low
MFG0357,2022,Non-Compliant,33,Warning
MFG0041,2020,Compliant,0,Low
MFG0228,2023,Non-Compliant,33,Warning
MFG0192,2019,Non-Compliant,33,Warning
MFG0411,2022,Non-Compliant,66,Critical
MFG0447,2019,Compliant,0,Low
MFG0145,2020,Compliant,0,Low
MFG0201,2020,Compliant,0,Low
MFG0417,2023,Compliant,0,Low
MFG0212,2023,Compliant,0,Low
MFG0461,2020,Non-Compliant,33,Warning
MFG0220,2022,Compliant,0,Low
MFG0240,2019,Compliant,0,Low
MFG0413,2021,Non-Compliant,33,Warning
MFG0397,2023,Non-Compliant,33,Warning
MFG0046,2021,Non-Compliant,33,Warning
MFG0035,2022,Compliant,0,Low
MFG0253,2023,Compliant,0,Low
MFG0390,2021,Compliant,0,Low
MFG0082,2022,Compliant,0,Low
MFG0371,2019,Non-Compliant,33,Warning
MFG0256,2022,Compliant,0,Low
MFG0197,2023,Compliant,0,Low
MFG0303,2020,Compliant,0,Low
MFG0409,2019,Compliant,0,Low
MFG0450,2021,Non-Compliant,33,Warning
MFG0010,2023,Non-Compliant,33,Warning
MFG0312,2020,Compliant,0,Low
MFG0286,2022,Compliant,0,Low
MFG0242,2020,Non-Compliant,33,Warning
MFG0251,2023,Compliant,0,Low
MFG0365,2023,Compliant,0,Low
MFG0005,2020,Compliant,0,Low
MFG0119,2022,Compliant,0,Low
MFG0289,2020,Compliant,0,Low
MFG0374,2023,Non-Compliant,33,Warning
MFG0065,2023,Compliant,0,Low
MFG0146,2021,Compliant,0,Low
MFG0224,2021,Non-Compliant,33,Warning
MFG0239,2019,Compliant,0,Low
MFG0177,2023,Compliant,0,Low
MFG0267,2021,Compliant,0,Low
MFG0341,2020,Compliant,0,Low
MFG0282,2022,Compliant,0,Low
MFG0063,2020,Compliant,0,Low
MFG0217,2022,Compliant,0,Low
MFG0342,2021,Compliant,0,Low
MFG0315,2019,Compliant,0,Low
MFG0283,2020,Non-Compliant,33,Warning
MFG0177,2020,Compliant,0,Low
MFG0461,2020,Non-Compliant,66,Critical
MFG0417,2022,Compliant,0,Low
MFG0098,2021,Compliant,0,Low
MFG0105,2020,Compliant,0,Low
MFG0099,2020,Compliant,0,Low
MFG0385,2019,Compliant,0,Low
MFG0405,2019,Non-Compliant,33,Warning
MFG0496,2021,Non-Compliant,33,Warning
MFG0311,2021,Non-Compliant,33,Warning
MFG0006,2023,Compliant,0,Low
MFG0476,2019,Non-Compliant,66,Critical
MFG0465,2023,Non-Compliant,66,Critical
MFG0197,2022,Compliant,0,Low
MFG0351,2023,Non-Compliant,33,Warning
MFG0133,2020,Non-Compliant,33,Warning
MFG0358,2023,Compliant,0,Low
MFG0259,2021,Compliant,0,Low
MFG0437,2022,Compliant,0,Low
MFG0023,2020,Compliant,0,Low
MFG0485,2023,Compliant,0,Low
MFG0053,2022,Compliant,0,Low
MFG0165,2022,Non-Compliant,33,Warning
MFG0202,2020,Non-Compliant,33,Warning
MFG0458,2023,Compliant,0,Low
MFG0083,2022,Non-Compliant,33,Warning
MFG0145,2022,Compliant,0,Low
MFG0085,2019,Non-Compliant,33,Warning
MFG0078,2022,Non-Compliant,33,Warning
MFG0457,2019,Non-Compliant,33,Warning
MFG0366,2023,Non-Compliant,33,Warning
MFG0001,2023,Non-Compliant,33,Warning
MFG0051,2023,Non-Compliant,33,Warning
MFG0173,2021,Compliant,0,Low
MFG0205,2023,Compliant,0,Low
MFG0260,2022,Compliant,0,Low
MFG0446,2020,Compliant,0,Low
MFG0449,2019,Compliant,0,Low
MFG0369,2021,Non-Compliant,33,Warning
MFG0488,2023,Non-Compliant,33,Warning
MFG0288,2023,Compliant,0,Low
MFG0034,2020,Non-Compliant,33,Warning
MFG0348,2020,Compliant,0,Low
MFG0095,2021,Non-Compliant,33,Warning
MFG0072,2019,Non-Compliant,33,Warning
MFG0039,2023,Compliant,0,Low
MFG0154,2021,Non-Compliant,33,Warning
MFG0250,2022,Non-Compliant,66,Critical
MFG0162,2022,Compliant,0,Low
MFG0438,2021,Non-Compliant,99,Critical
MFG0118,2023,Compliant,0,Low
MFG0259,2021,Compliant,0,Low
MFG0379,2023,Non-Compliant,33,Warning
MFG0306,2020,Non-Compliant,33,Warning
MFG0268,2021,Non-Compliant,33,Warning
MFG0449,2023,Compliant,0,Low
MFG0054,2021,Non-Compliant,33,Warning
MFG0236,2021,Non-Compliant,33,Warning
MFG0389,2023,Compliant,0,Low
MFG0478,2023,Non-Compliant,33,Warning
MFG0222,2019,Compliant,0,Low
MFG0251,2021,Compliant,0,Low
MFG0313,2022,Compliant,0,Low
MFG0401,2021,Non-Compliant,33,Warning
MFG0112,2021,Non-Compliant,33,Warning
MFG0255,2023,Compliant,0,Low
MFG0303,2021,Non-Compliant,66,Critical
MFG0407,2021,Non-Compliant,33,Warning
MFG0207,2022,Compliant,0,Low
MFG0229,2023,Non-Compliant,33,Warning
MFG0341,2021,Non-Compliant,66,Critical
MFG0398,2020,Non-Compliant,33,Warning
MFG0066,2019,Compliant,0,Low
MFG0075,2022,Compliant,0,Low
MFG0435,2021,Non-Compliant,33,Warning
MFG0103,2020,Compliant,0,Low
MFG0422,2021,Non-Compliant,33,Warning
MFG0192,2021,Compliant,0,Low
MFG0252,2023,Compliant,0,Low
MFG0226,2023,Non-Compliant,33,Warning
MFG0294,2023,Non-Compliant,66,Critical
MFG0306,2020,Compliant,0,Low
MFG0098,2021,Non-Compliant,33,Warning
MFG0338,2019,Non-Compliant,33,Warning
MFG0286,2022,Non-Compliant,33,Warning
MFG0335,2023,Compliant,0,Low
MFG0347,2023,Non-Compliant,66,Critical
MFG0435,2021,Compliant,0,Low
MFG0447,2021,Non-Compliant,66,Critical
MFG0482,2020,Compliant,0,Low
MFG0308,2020,Non-Compliant,33,Warning
MFG0249,2023,Non-Compliant,33,Warning
MFG0166,2021,Compliant,0,Low
MFG0481,2019,Compliant,0,Low
MFG0472,2022,Compliant,0,Low
MFG0335,2021,Compliant,0,Low
MFG0030,2021,Non-Compliant,66,Critical
MFG0247,2020,Compliant,0,Low
MFG0106,2022,Non-Compliant,33,Warning
MFG0051,2023,Compliant,0,Low
MFG0081,2021,Compliant,0,Low
MFG0133,2023,Compliant,0,Low
MFG0285,2021,Compliant,0,Low
MFG0388,2023,Non-Compliant,33,Warning
MFG0138,2022,Compliant,0,Low
MFG0184,2020,Compliant,0,Low
MFG0401,2022,Non-Compliant,33,Warning
MFG0330,2019,Compliant,0,Low
MFG0273,2020,Non-Compliant,33,Warning
MFG0340,2022,Compliant,0,Low
MFG0472,2019,Non-Compliant,66,Critical
MFG0069,2021,Non-Compliant,99,Critical
MFG0034,2021,Non-Compliant,66,Critical
MFG0262,2023,Non-Compliant,33,Warning
MFG0053,2020,Compliant,0,Low
MFG0450,2021,Compliant,0,Low
MFG0205,2020,Compliant,0,Low
MFG0126,2021,Non-Compliant,33,Warning
MFG0235,2023,Compliant,0,Low
MFG0043,2022,Compliant,0,Low
MFG0240,2023,Compliant,0,Low
MFG0459,2019,Compliant,0,Low
MFG0371,2021,Compliant,0,Low
MFG0111,2019,Compliant,0,Low
MFG0249,2019,Non-Compliant,33,Warning
MFG0151,2020,Non-Compliant,33,Warning
MFG0183,2021,Non-Compliant,33,Warning
MFG0336,2019,Non-Compliant,33,Warning
MFG0095,2022,Non-Compliant,33,Warning
MFG0459,2019,Compliant,0,Low
MFG0374,2022,Compliant,0,Low
MFG0400,2020,Compliant,0,Low
MFG0008,2019,Non-Compliant,33,Warning
MFG0388,2023,Compliant,0,Low
MFG0360,2020,Compliant,0,Low
MFG0388,2022,Non-Compliant,33,Warning
MFG0184,2020,Non-Compliant,33,Warning
MFG0281,2019,Non-Compliant,66,Critical
MFG0195,2021,Compliant,0,Low
MFG0352,2021,Non-Compliant,33,Warning
MFG0195,2022,Compliant,0,Low
MFG0155,2022,Non-Compliant,33,Warning
MFG0093,2021,Compliant,0,Low
MFG0160,2022,Non-Compliant,33,Warning
MFG0434,2020,Compliant,0,Low
MFG0061,2023,Non-Compliant,33,Warning
MFG0122,2023,Non-Compliant,33,Warning
MFG0051,2020,Compliant,0,Low
MFG0403,2023,Compliant,0,Low
MFG0277,2019,Compliant,0,Low
MFG0005,2020,Compliant,0,Low
MFG0466,2022,Non-Compliant,66,Critical
MFG0092,2020,Compliant,0,Low
MFG0170,2021,Non-Compliant,66,Critical
MFG0317,2022,Non-Compliant,33,Warning
MFG0022,2021,Compliant,0,Low
MFG0405,2022,Compliant,0,Low
MFG0326,2023,Non-Compliant,33,Warning
MFG0001,2020,Non-Compliant,33,Warning
MFG0133,2019,Compliant,0,Low
MFG0233,2022,Non-Compliant,33,Warning
MFG0012,2022,Compliant,0,Low
MFG0346,2021,Compliant,0,Low
MFG0046,2023,Compliant,0,Low
MFG0034,2021,Non-Compliant,33,Warning
MFG0433,2021,Non-Compliant,33,Warning
MFG0078,2023,Compliant,0,Low
MFG0218,2019,Compliant,0,Low
MFG0301,2021,Compliant,0,Low
MFG0411,2021,Non-Compliant,66,Critical
MFG0073,2022,Non-Compliant,33,Warning
MFG0282,2023,Compliant,0,Low
MFG0249,2020,Non-Compliant,33,Warning
MFG0047,2019,Non-Compliant,33,Warning
MFG0121,2019,Compliant,0,Low
MFG0214,2023,Non-Compliant,33,Warning
MFG0239,2022,Compliant,0,Low
MFG0056,2022,Non-Compliant,33,Warning
MFG0350,2023,Non-Compliant,33,Warning
MFG0107,2022,Non-Compliant,33,Warning
MFG0319,2019,Compliant,0,Low
MFG0048,2019,Compliant,0,Low
MFG0061,2020,Compliant,0,Low
MFG0337,2023,Non-Compliant,33,Warning
MFG0026,2021,Non-Compliant,33,Warning
MFG0292,2021,Compliant,0,Low
MFG0257,2020,Compliant,0,Low
MFG0008,2020,Compliant,0,Low
MFG0113,2022,Compliant,0,Low
MFG0355,2020,Non-Compliant,66,Critical
MFG0253,2020,Compliant,0,Low
MFG0180,2021,Compliant,0,Low
MFG0207,2022,Non-Compliant,33,Warning
MFG0303,2020,Compliant,0,Low
MFG0127,2020,Non-Compliant,33,Warning
MFG0056,2022,Non-Compliant,33,Warning
MFG0214,2023,Compliant,0,Low
MFG0014,2022,Non-Compliant,33,Warning
MFG0474,2021,Non-Compliant,33,Warning
MFG0028,2023,Non-Compliant,33,Warning
MFG0471,2019,Compliant,0,Low
MFG0078,2022,Compliant,0,Low
MFG0216,2021,Non-Compliant,66,Critical
MFG0386,2023,Non-Compliant,33,Warning
MFG0365,2022,Non-Compliant,33,Warning
MFG0154,2020,Non-Compliant,33,Warning
MFG0014,2022,Compliant,0,Low
MFG0187,2019,Non-Compliant,33,Warning
MFG0312,2022,Non-Compliant,33,Warning
MFG0371,2023,Non-Compliant,33,Warning
MFG0007,2023,Non-Compliant,66,Critical
MFG0003,2022,Non-Compliant,33,Warning
MFG0111,2023,Non-Compliant,33,Warning
MFG0407,2020,Compliant,0,Low
MFG0238,2022,Non-Compliant,33,Warning
MFG0363,2020,Compliant,0,Low
MFG0239,2020,Non-Compliant,33,Warning
MFG0493,2021,Non-Compliant,33,Warning
MFG0274,2022,Non-Compliant,33,Warning
MFG0294,2023,Non-Compliant,33,Warning
MFG0227,2020,Compliant,0,Low
MFG0371,2021,Non-Compliant,33,Warning
MFG0015,2022,Compliant,0,Low
MFG0192,2022,Non-Compliant,33,Warning
MFG0473,2019,Non-Compliant,66,Critical
MFG0119,2019,Compliant,0,Low
MFG0485,2020,Compliant,0,Low
MFG0028,2019,Compliant,0,Low
MFG0202,2020,Compliant,0,Low
MFG0039,2023,Compliant,0,Low
MFG0441,2020,Non-Compliant,66,Critical
MFG0273,2019,Non-Compliant,33,Warning
MFG0231,2023,Non-Compliant,33,Warning
MFG0086,2019,Compliant,0,Low
MFG0474,2020,Compliant,0,Low
MFG0126,2021,Non-Compliant,33,Warning
MFG0300,2022,Compliant,0,Low
MFG0025,2019,Non-Compliant,66,Critical
MFG0145,2020,Non-Compliant,33,Warning
MFG0013,2023,Non-Compliant,33,Warning
MFG0212,2019,Non-Compliant,33,Warning
MFG0025,2019,Non-Compliant,66,Critical
MFG0068,2022,Compliant,0,Low
MFG0394,2020,Non-Compliant,33,Warning
MFG0067,2021,Compliant,0,Low
MFG0233,2023,Compliant,0,Low
MFG0109,2020,Non-Compliant,33,Warning
MFG0146,2023,Compliant,0,Low
MFG0111,2019,Compliant,0,Low
MFG0228,2022,Non-Compliant,33,Warning
MFG0111,2022,Non-Compliant,66,Critical
MFG0470,2021,Compliant,0,Low
MFG0034,2022,Compliant,0,Low
MFG0111,2019,Non-Compliant,66,Critical
MFG0264,2021,Compliant,0,Low
MFG0424,2020,Non-Compliant,33,Warning
MFG0369,2022,Compliant,0,Low
MFG0236,2021,Non-Compliant,66,Critical
MFG0083,2019,Non-Compliant,66,Critical
MFG0042,2023,Compliant,0,Low
MFG0425,2023,Non-Compliant,33,Warning
MFG0101,2019,Compliant,0,Low
MFG0006,2019,Non-Compliant,33,Warning
MFG0180,2023,Compliant,0,Low
MFG0282,2021,Compliant,0,Low
MFG0320,2023,Compliant,0,Low
MFG0226,2019,Compliant,0,Low
MFG0443,2022,Non-Compliant,99,Critical
MFG0440,2020,Compliant,0,Low
MFG0315,2022,Non-Compliant,33,Warning
MFG0365,2022,Non-Compliant,33,Warning
MFG0454,2019,Compliant,0,Low
MFG0229,2023,Compliant,0,Low
MFG0377,2021,Compliant,0,Low
MFG0289,2022,Compliant,0,Low
MFG0437,2023,Non-Compliant,66,Critical
MFG0150,2021,Non-Compliant,33,Warning
MFG0277,2022,Non-Compliant,33,Warning
MFG0198,2021,Compliant,0,Low
MFG0070,2023,Non-Compliant,33,Warning
MFG0112,2020,Compliant,0,Low
MFG0004,2023,Compliant,0,Low
MFG0350,2019,Compliant,0,Low
MFG0331,2021,Non-Compliant,33,Warning
MFG0446,2020,Non-Compliant,33,Warning
MFG0318,2021,Compliant,0,Low
MFG0350,2021,Non-Compliant,33,Warning
MFG0095,2022,Non-Compliant,33,Warning
MFG0152,2019,Compliant,0,Low
MFG0311,2021,Non-Compliant,66,Critical
MFG0137,2023,Compliant,0,Low
MFG0247,2023,Compliant,0,Low
MFG0387,2022,Non-Compliant,66,Critical
MFG0243,2019,Compliant,0,Low
MFG0031,2019,Compliant,0,Low
MFG0040,2023,Non-Compliant,33,Warning
MFG0229,2020,Compliant,0,Low
MFG0036,2022,Compliant,0,Low
MFG0408,2022,Non-Compliant,66,Critical
MFG0223,2023,Non-Compliant,33,Warning
MFG0006,2023,Non-Compliant,33,Warning
MFG0322,2020,Compliant,0,Low
MFG0468,2020,Non-Compliant,33,Warning
MFG0220,2019,Non-Compliant,33,Warning
MFG0075,2022,Compliant,0,Low
MFG0004,2022,Non-Compliant,33,Warning
MFG0335,2023,Compliant,0,Low
MFG0134,2019,Compliant,0,Low
MFG0118,2022,Non-Compliant,33,Warning
MFG0369,2019,Non-Compliant,33,Warning
MFG0094,2019,Non-Compliant,33,Warning
MFG0486,2023,Non-Compliant,33,Warning
MFG0435,2019,Non-Compliant,66,Critical
MFG0062,2020,Non-Compliant,33,Warning
MFG0441,2020,Compliant,0,Low
MFG0194,2021,Compliant,0,Low
MFG0335,2023,Non-Compliant,33,Warning
MFG0203,2021,Non-Compliant,33,Warning
MFG0392,2020,Compliant,0,Low
MFG0026,2021,Compliant,0,Low
MFG0435,2023,Compliant,0,Low
MFG0173,2023,Non-Compliant,33,Warning
MFG0300,2019,Compliant,0,Low
MFG0133,2022,Compliant,0,Low
MFG0326,2019,Non-Compliant,33,Warning
